路径名称,事件ID,动作类型,路径点索引,对话内容,动画名称,手势类型
,FROG6,GESTURE,,右手嵌进守卫左腋铠甲缝→,,DEFAULT
,FROG6,GESTURE,,铁刺柄正插在自己掌心→,,DEFAULT
,FROG6,GESTURE,,"血顺着铠甲龙纹淌成""忠""字→",,DEFAULT
,FROG6,GESTURE,,"她喉管发出""咕噜""声…",,DEFAULT
,FROG6,GESTURE,,多像地牢馊饭冒泡！,,DEFAULT
,FROG6,GESTURE,,呃啊…,,DEFAULT
,FROG6,GESTURE,,咸的？！,,DEFAULT
,FROG6,GESTURE,,您该是锈味啊…,,DEFAULT
,FROG6,GESTURE,,像掰栅栏救我那日——,,DEFAULT
,FROG6,GESTURE,,您割破手掌滴进我嘴的血…,,DEFAULT
,FROG6,GESTURE,,明明更腥甜！,,DEFAULT
,FROG6,GESTURE,,暖吗？,,DEFAULT
,FROG6,GESTURE,,这次我表现的是不是很好~,,DEFAULT
,FROG6,GESTURE,,呼……,,DEFAULT
,FROG6,GESTURE,,终于…,,DEFAULT
,FROG6,GESTURE,,您的味道里没有公主了！,,DEFAULT
,FROG6,GESTURE,,那么，您抚摸公主的双手，,,DEFAULT
,FROG6,GESTURE,,就暂时归我所有啦！,,DEFAULT
,FROG6,GESTURE,,垫着！,,WOLF
,FROG6,GESTURE,,这破洞灌风…您咳嗽半月了！,,WOLF
,FROG6,GESTURE,,别…别病死…,,WOLF
,FROG6,GESTURE,,七岁想绣个您…,,WOLF
,FROG6,GESTURE,,"可""忠""字太难绣！",,WOLF
,FROG6,GESTURE,,"瞧！烂肉里长的""忠""…",,WOLF
,FROG6,GESTURE,,总比您刻进骨髓的工整！,,WOLF
,FROG6,GESTURE,,疼吗？,,WOLF
,FROG6,GESTURE,,学您…包…包扎！,,WOLF
,FROG6,GESTURE,,我只会搞砸…,,WOLF
,FROG6,GESTURE,,像当年打翻您给的饭盆！,,WOLF
,FROG6,GESTURE,,您记得？！,,WOLF
,FROG6,GESTURE,,可公主晕倒那晚…,,WOLF
,FROG6,GESTURE,,"您守在她的鸟笼说""永别""——",,WOLF
,FROG6,GESTURE,,我高烧快死时…,,WOLF
,FROG6,GESTURE,,听见的是地牢水滴声！,,WOLF
,FROG6,GESTURE,,…臭死了。,,WOLF
,FROG6,GESTURE,,但比地牢暖。,,WOLF
,FROG6,GESTURE,,喏…,,WOLF
,FROG6,GESTURE,,"修不好您的""忠""字铠甲…",,WOLF
,FROG6,GESTURE,,勒紧伤口总行吧？嘻嘻~,,WOLF
8,PATH_ACTION,PATH_ACTION,,看啊祭司！,,
,,,,这木纹里渍透我五百场假笑！,,
,,,,曾靠它讨半块面包、半句夸赞…,,
,,,,现在坦白：我想要——,,
,,,,公主棺椁边那枝野菊，,,
,,,,想要您法杖顶端的月光石，,,
,,,,最想要…,,
,,,,内侍左肩甲下第三道疤的温度！,,
,,,,不再说“嘻嘻~杀着玩呀”，,,
,,,,我要说“给我一寸真心跳动的光”！,,
,,,,瞧，它最后笑得多真心实意！,,
9,PATH_ACTION,PATH_ACTION,,这玩意儿…,,
,,,,勒断我偷点心的手、撒谎的舌！,,
,,,,每次想要什么——,,
,,,,就靠痛提醒“你不配”…,,
,,,,现在我要配得上！,,
,,,,想要就去挣！,,
,,,,用伤换内侍一句“不错”？蠢！,,
,,,,我要她活着骂我“小混蛋”——,,
,,,,要您咒我“亵神者永堕地狱”——,,
,,,,更要这痛…,,
,,,,从此只为心跳加速而存在！,,
,,,,再见了，自虐的神谕！,,
,,,,看！连地狱都在教我…,,
,,,,如何用欲望喂养新生！,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
